"","Species","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"188","Diploria labyrinthiformis","Dlab-D1","233",2,0.000331547360664144,1.19357049839092,"timepoint1"
"189","Diploria labyrinthiformis","Dlab-D1","289",2,0.000373601369032072,1.34496492851546,"timepoint1"
"190","Diploria labyrinthiformis","Dlab-D1","32",2,-9.92833551423437e-05,-0.357420078512437,"timepoint1"
"191","Diploria labyrinthiformis","Dlab-D1","341",2,0.000392207278350921,1.41194620206332,"timepoint1"
"192","Diploria labyrinthiformis","Dlab-D1","413",2,0.000426611199189048,1.53580031708057,"timepoint1"
"193","Diploria labyrinthiformis","Dlab-D2","0",6,-0.000303162935751974,-1.09138656870711,"timepoint1"
"194","Diploria labyrinthiformis","Dlab-D2","124",6,-0.00018575930353582,-0.668733492728951,"timepoint1"
"195","Diploria labyrinthiformis","Dlab-D2","165",6,-0.000174583929371672,-0.628502145738019,"timepoint1"
"196","Diploria labyrinthiformis","Dlab-D2","233",6,-0.000190691547577623,-0.686489571279442,"timepoint1"
"197","Diploria labyrinthiformis","Dlab-D2","289",6,-0.000163650805598528,-0.589142900154702,"timepoint1"
"198","Diploria labyrinthiformis","Dlab-D2","32",6,-0.000224022390401628,-0.80648060544586,"timepoint1"
"199","Diploria labyrinthiformis","Dlab-D2","341",6,-0.000171218168331907,-0.616385405994867,"timepoint1"
"200","Diploria labyrinthiformis","Dlab-D2","413",6,-0.00014862652235544,-0.535055480479586,"timepoint1"
"201","Diploria labyrinthiformis","Dlab-D2","517",6,-0.000157481647070507,-0.566933929453825,"timepoint1"
"202","Diploria labyrinthiformis","Dlab-D3","0",7,-0.000353220670705884,-1.27159441454118,"timepoint1"
"203","Diploria labyrinthiformis","Dlab-D3","124",7,-8.16868389770338e-05,-0.294072620317322,"timepoint1"
"204","Diploria labyrinthiformis","Dlab-D3","165",7,2.5331566745331e-05,0.0911936402831917,"timepoint1"
"205","Diploria labyrinthiformis","Dlab-D3","233",7,0.000133960776148975,0.482258794136309,"timepoint1"
"206","Diploria labyrinthiformis","Dlab-D3","289",7,0.000198671155031812,0.715216158114524,"timepoint1"
"207","Diploria labyrinthiformis","Dlab-D3","32",7,-0.000324813130250635,-1.16932726890229,"timepoint1"
"208","Diploria labyrinthiformis","Dlab-D3","341",7,0.000241023084124806,0.8676831028493,"timepoint1"
"209","Diploria labyrinthiformis","Dlab-D3","413",7,0.000272040480059285,0.979345728213427,"timepoint1"
"210","Diploria labyrinthiformis","Dlab-D3","517",7,0.000327334723927838,1.17840500614022,"timepoint1"
"211","Diploria labyrinthiformis","Dlab-D4","0",13,-4.15456028400682e-05,-0.149564170224246,"timepoint1"
"212","Diploria labyrinthiformis","Dlab-D4","124",13,0.000157409828931566,0.566675384153637,"timepoint1"
"213","Diploria labyrinthiformis","Dlab-D4","165",13,0.000167904274612272,0.60445538860418,"timepoint1"
"214","Diploria labyrinthiformis","Dlab-D4","233",13,0.000188917845361286,0.680104243300629,"timepoint1"
"215","Diploria labyrinthiformis","Dlab-D4","289",13,0.000180854115737198,0.651074816653911,"timepoint1"
"216","Diploria labyrinthiformis","Dlab-D4","32",13,-4.71790094826228e-06,-0.0169844434137442,"timepoint1"
"217","Diploria labyrinthiformis","Dlab-D4","341",13,0.000170732231807368,0.614636034506524,"timepoint1"
"218","Diploria labyrinthiformis","Dlab-D4","413",13,0.000155430050835806,0.559548183008902,"timepoint1"
"219","Diploria labyrinthiformis","Dlab-D4","517",13,0.000137060018552888,0.493416066790398,"timepoint1"
"220","Diploria labyrinthiformis","Dlab-D5","0",11,-0.000154651666641012,-0.556745999907643,"timepoint1"
"221","Diploria labyrinthiformis","Dlab-D5","124",11,6.86371898380137e-05,0.247093883416849,"timepoint1"
"222","Diploria labyrinthiformis","Dlab-D5","165",11,0.000223272505102246,0.803781018368087,"timepoint1"
"223","Diploria labyrinthiformis","Dlab-D5","233",11,0.000286127020001779,1.0300572720064,"timepoint1"
"224","Diploria labyrinthiformis","Dlab-D5","289",11,0.000331570695407083,1.1936545034655,"timepoint1"
"225","Diploria labyrinthiformis","Dlab-D5","32",11,-7.84929463316593e-05,-0.282574606793974,"timepoint1"
"226","Diploria labyrinthiformis","Dlab-D5","341",11,0.000362076564884484,1.30347563358414,"timepoint1"
"227","Diploria labyrinthiformis","Dlab-D5","413",11,0.00037650137762666,1.35540495945598,"timepoint1"
"228","Diploria labyrinthiformis","Dlab-D5","517",11,0.000391612046796215,1.40980336846637,"timepoint1"
"229","Diploria labyrinthiformis","Dlab-D6","0",18,-0.000165516424316652,-0.595859127539947,"timepoint1"
"230","Diploria labyrinthiformis","Dlab-D6","124",18,0.000214888942014625,0.77360019125265,"timepoint1"
"231","Diploria labyrinthiformis","Dlab-D6","165",18,0.000312925556532253,1.12653200351611,"timepoint1"
"232","Diploria labyrinthiformis","Dlab-D6","233",18,0.00038354588691571,1.38076519289656,"timepoint1"
"233","Diploria labyrinthiformis","Dlab-D6","289",18,0.000406699371940072,1.46411773898426,"timepoint1"
"234","Diploria labyrinthiformis","Dlab-D6","32",18,-5.23347462131208e-05,-0.188405086367235,"timepoint1"
"235","Diploria labyrinthiformis","Dlab-D6","341",18,0.000412806283402728,1.48610262024982,"timepoint1"
"236","Diploria labyrinthiformis","Dlab-D6","413",18,0.000438395410762233,1.57822347874404,"timepoint1"
"237","Diploria labyrinthiformis","Dlab-D6","517",18,0.000434393016346772,1.56381485884838,"timepoint1"
"238","Diploria labyrinthiformis","Dlab-D7","0",21,-0.000607929814217001,-2.1885473311812,"timepoint1"
