Sample Name,Concentration (ng/uL),Sample Volume (uL),Customer Plate Name (if applicable),Customer Plate Well ID (if applicable),colony_id,Temp.Cat,New Sample Name
Mdec-D2,12,25,Plate2,Plate2_E2,Mdec-D2,40,Plate2_E2_Mdec-D2
Mcav-D6,12,25,Plate2,Plate2_F2,Mcav-D6,26,Plate2_F2_Mcav-D6
Mdec-A3,12,25,Plate2,Plate2_G2,Mdec-A3,33,Plate2_G2_Mdec-A3
Mdec-F6,12,25,Plate2,Plate2_H2,Mdec-F6,26,Plate2_H2_Mdec-F6
Mdec-A4,12,25,Plate2,Plate2_A3,Mdec-A4,16,Plate2_A3_Mdec-A4
Dlab-E7,12,25,Plate2,Plate2_B3,Dlab-E7,36,Plate2_B3_Dlab-E7
Mdec-D3,12,25,Plate2,Plate2_C3,Mdec-D3,33,Plate2_C3_Mdec-D3
Mcav-B4,12,25,Plate2,Plate2_D3,Mcav-B4,16,Plate2_D3_Mcav-B4
Mcav-D7,12,25,Plate2,Plate2_E3,Mcav-D7,36,Plate2_E3_Mcav-D7
Dlab-C4,12,25,Plate2,Plate2_F3,Dlab-C4,16,Plate2_F3_Dlab-C4
Mdec-F7,12,25,Plate2,Plate2_G3,Mdec-F7,36,Plate2_G3_Mdec-F7
